name,url,description,category,test_type,duration,remote_testing,adaptive,skills,scraped_at,category_standardized,category_final,duration_minutes,combined_text,text_length,word_count,skill_count,has_description,is_adaptive,is_remote,completeness_score
account manager solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,,,,,,,[],2025-11-08T22:28:56.496439,Other,Other,,Assessment: account manager solution | Category: Other,54,7,0,False,False,False,1.0
administrative professional - short form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,,,,,,,[],2025-11-08T22:29:03.362706,Other,Other,,Assessment: administrative professional - short form | Category: Other,70,9,0,False,False,False,1.0
agency manager solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,,,,,,,[],2025-11-08T22:29:10.202069,Other,Other,,Assessment: agency manager solution | Category: Other,53,7,0,False,False,False,1.0
apprentice  8.0 job focused assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,,,,,,,[],2025-11-08T22:29:16.587277,Other,Other,,Assessment: apprentice  8.0 job focused assessment | Category: Other,68,9,0,False,False,False,1.0
apprentice 8.0 job focused assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,,,,,,,[],2025-11-08T22:29:23.541416,Other,Other,,Assessment: apprentice 8.0 job focused assessment | Category: Other,67,9,0,False,False,False,1.0
bank administrative assistant - short form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,,,,,,,[],2025-11-08T22:29:31.049036,Other,Other,,Assessment: bank administrative assistant - short form | Category: Other,72,10,0,False,False,False,1.0
bank collections agent - short form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,,,,,,,[],2025-11-08T22:29:38.817080,Other,Other,,Assessment: bank collections agent - short form | Category: Other,65,10,0,False,False,False,1.0
bank operations supervisor - short form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,,,,,,,[],2025-11-08T22:29:46.106092,Other,Other,,Assessment: bank operations supervisor - short form | Category: Other,69,10,0,False,False,False,1.0
bilingual spanish reservation agent solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,,,,,,,[],2025-11-08T22:29:52.259577,Other,Other,,Assessment: bilingual spanish reservation agent solution | Category: Other,74,9,0,False,False,False,1.0
"bookkeeping, accounting, auditing clerk short form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,,,,,,,[],2025-11-08T22:29:58.305338,Other,Other,,"Assessment: bookkeeping, accounting, auditing clerk short form | Category: Other",80,10,0,False,False,False,1.0
branch manager - short form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,,,,,,,[],2025-11-08T22:30:05.328172,Other,Other,,Assessment: branch manager - short form | Category: Other,57,9,0,False,False,False,1.0
cashier solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,,,,,,,[],2025-11-08T22:30:11.897575,Other,Other,,Assessment: cashier solution | Category: Other,46,6,0,False,False,False,1.0
global skills development report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,,,,,,,[],2025-11-08T22:30:19.622002,Other,Knowledge & Skills,,Assessment: global skills development report | Category: Knowledge & Skills,75,10,0,False,False,False,1.0
.net framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,,,,,,,[],2025-11-08T22:30:26.805404,Other,Other,,Assessment: .net framework 4.5 | Category: Other,48,7,0,False,False,False,1.0
.net mvc (new),https://www.shl.com/products/product-catalog/view/net-mvc-new/,,,,,,,[],2025-11-08T22:30:34.400166,Other,Other,,Assessment: .net mvc (new) | Category: Other,44,7,0,False,False,False,1.0
.net mvvm (new),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,,,,,,,[],2025-11-08T22:30:42.521748,Other,Other,,Assessment: .net mvvm (new) | Category: Other,45,7,0,False,False,False,1.0
.net wcf (new),https://www.shl.com/products/product-catalog/view/net-wcf-new/,,,,,,,[],2025-11-08T22:30:50.371942,Other,Other,,Assessment: .net wcf (new) | Category: Other,44,7,0,False,False,False,1.0
.net wpf (new),https://www.shl.com/products/product-catalog/view/net-wpf-new/,,,,,,,[],2025-11-08T22:30:58.855242,Other,Other,,Assessment: .net wpf (new) | Category: Other,44,7,0,False,False,False,1.0
.net xaml (new),https://www.shl.com/products/product-catalog/view/net-xaml-new/,,,,,,,[],2025-11-08T22:31:06.650456,Other,Other,,Assessment: .net xaml (new) | Category: Other,45,7,0,False,False,False,1.0
accounts payable (new),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,,,,,,,[],2025-11-08T22:31:14.799786,Other,Other,,Assessment: accounts payable (new) | Category: Other,52,7,0,False,False,False,1.0
accounts payable simulation (new),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,,,,,,,[],2025-11-08T22:31:23.058173,Other,Simulations,,Assessment: accounts payable simulation (new) | Category: Simulations,69,8,0,False,False,False,1.0
accounts receivable (new),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,,,,,,,[],2025-11-08T22:31:30.733422,Other,Other,,Assessment: accounts receivable (new) | Category: Other,55,7,0,False,False,False,1.0
accounts receivable simulation (new),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,,,,,,,[],2025-11-08T22:31:39.070559,Other,Simulations,,Assessment: accounts receivable simulation (new) | Category: Simulations,72,8,0,False,False,False,1.0
ado.net (new),https://www.shl.com/products/product-catalog/view/ado-net-new/,,,,,,,[],2025-11-08T22:31:46.667352,Other,Other,,Assessment: ado.net (new) | Category: Other,43,6,0,False,False,False,1.0
