name,url,description,category,test_type,duration,remote_testing,adaptive,skills,scraped_at,category_standardized,category_final,duration_minutes,combined_text,text_length,word_count,skill_count,has_description,is_adaptive,is_remote,completeness_score
account manager solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,"Comprehensive assessment for account management roles, evaluating sales skills, relationship building, and client retention strategies.",,Personality & Behavior,45.0,Yes,No,"['client management', 'sales', 'communication', 'negotiation']",2025-11-08T22:28:56.496439,Other,Personality & Behavior,45.0,"Assessment: account manager solution | Description: Comprehensive assessment for account management roles, evaluating sales skills, relationship building, and client retention strategies. | Category: Personality & Behavior | Duration: 45 minutes | Skills: client management, sales, communication, negotiation",308,37,4,True,False,False,1.0
administrative professional - short form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,"Quick assessment for administrative professionals measuring organizational skills, attention to detail, and office management capabilities.",,Knowledge & Skills,20.0,Yes,No,"['organization', 'data entry', 'scheduling', 'communication']",2025-11-08T22:29:03.362706,Other,Knowledge & Skills,20.0,"Assessment: administrative professional - short form | Description: Quick assessment for administrative professionals measuring organizational skills, attention to detail, and office management capabilities. | Category: Knowledge & Skills | Duration: 20 minutes | Skills: organization, data entry, scheduling, communication",323,39,4,True,False,False,1.0
agency manager solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,"Assessment for agency management positions evaluating leadership, strategic planning, and team coordination abilities.",,Management,50.0,Yes,No,"['leadership', 'planning', 'team management', 'decision making']",2025-11-08T22:29:10.202069,Other,Management,50.0,"Assessment: agency manager solution | Description: Assessment for agency management positions evaluating leadership, strategic planning, and team coordination abilities. | Category: Management | Duration: 50 minutes | Skills: leadership, planning, team management, decision making",280,34,4,True,False,False,1.0
apprentice  8.0 job focused assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,,,,,,,[],2025-11-08T22:29:16.587277,Other,Other,,Assessment: apprentice  8.0 job focused assessment | Category: Other,68,9,0,False,False,False,1.0
apprentice 8.0 job focused assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Entry-level assessment for apprentice positions measuring foundational skills, learning aptitude, and workplace behaviors.",,Competencies,30.0,Yes,No,"['problem solving', 'learning ability', 'teamwork', 'communication']",2025-11-08T22:29:23.541416,Other,Competencies,30.0,"Assessment: apprentice 8.0 job focused assessment | Description: Entry-level assessment for apprentice positions measuring foundational skills, learning aptitude, and workplace behaviors. | Category: Competencies | Duration: 30 minutes | Skills: problem solving, learning ability, teamwork, communication",304,36,4,True,False,False,1.0
bank administrative assistant - short form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,"Banking sector administrative assessment focusing on financial document handling, customer service, and regulatory compliance.",,Knowledge & Skills,25.0,Yes,No,"['banking operations', 'customer service', 'data accuracy', 'compliance']",2025-11-08T22:29:31.049036,Other,Knowledge & Skills,25.0,"Assessment: bank administrative assistant - short form | Description: Banking sector administrative assessment focusing on financial document handling, customer service, and regulatory compliance. | Category: Knowledge & Skills | Duration: 25 minutes | Skills: banking operations, customer service, data accuracy, compliance",324,41,4,True,False,False,1.0
bank collections agent - short form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,"Assessment for collections roles evaluating negotiation skills, persistence, communication, and debt recovery strategies.",,Competencies,30.0,Yes,No,"['negotiation', 'communication', 'persistence', 'conflict resolution']",2025-11-08T22:29:38.817080,Other,Competencies,30.0,"Assessment: bank collections agent - short form | Description: Assessment for collections roles evaluating negotiation skills, persistence, communication, and debt recovery strategies. | Category: Competencies | Duration: 30 minutes | Skills: negotiation, communication, persistence, conflict resolution",303,36,4,True,False,False,1.0
bank operations supervisor - short form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,"Supervisory assessment for banking operations measuring leadership, process management, and regulatory knowledge.",,Management,40.0,Yes,No,"['supervision', 'operations management', 'compliance', 'leadership']",2025-11-08T22:29:46.106092,Other,Management,40.0,"Assessment: bank operations supervisor - short form | Description: Supervisory assessment for banking operations measuring leadership, process management, and regulatory knowledge. | Category: Management | Duration: 40 minutes | Skills: supervision, operations management, compliance, leadership",295,35,4,True,False,False,1.0
bilingual spanish reservation agent solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"Bilingual assessment for reservation agents testing Spanish language proficiency, customer service, and booking system knowledge.",,Knowledge & Skills,35.0,Yes,No,"['spanish', 'customer service', 'communication', 'booking systems']",2025-11-08T22:29:52.259577,Other,Knowledge & Skills,35.0,"Assessment: bilingual spanish reservation agent solution | Description: Bilingual assessment for reservation agents testing Spanish language proficiency, customer service, and booking system knowledge. | Category: Knowledge & Skills | Duration: 35 minutes | Skills: spanish, customer service, communication, booking systems",323,40,4,True,False,False,1.0
"bookkeeping, accounting, auditing clerk short form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Financial assessment evaluating bookkeeping principles, accounting software proficiency, and auditing fundamentals.",,Knowledge & Skills,30.0,Yes,No,"['bookkeeping', 'accounting', 'excel', 'financial reporting']",2025-11-08T22:29:58.305338,Other,Knowledge & Skills,30.0,"Assessment: bookkeeping, accounting, auditing clerk short form | Description: Financial assessment evaluating bookkeeping principles, accounting software proficiency, and auditing fundamentals. | Category: Knowledge & Skills | Duration: 30 minutes | Skills: bookkeeping, accounting, excel, financial reporting",309,36,4,True,False,False,1.0
