name,combined_text,url,category_final
account manager solution,Assessment: account manager solution | Category: Other,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Other
administrative professional - short form,Assessment: administrative professional - short form | Category: Other,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Other
agency manager solution,Assessment: agency manager solution | Category: Other,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Other
apprentice  8.0 job focused assessment,Assessment: apprentice  8.0 job focused assessment | Category: Other,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Other
apprentice 8.0 job focused assessment,Assessment: apprentice 8.0 job focused assessment | Category: Other,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Other
bank administrative assistant - short form,Assessment: bank administrative assistant - short form | Category: Other,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Other
bank collections agent - short form,Assessment: bank collections agent - short form | Category: Other,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Other
bank operations supervisor - short form,Assessment: bank operations supervisor - short form | Category: Other,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Other
bilingual spanish reservation agent solution,Assessment: bilingual spanish reservation agent solution | Category: Other,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Other
"bookkeeping, accounting, auditing clerk short form","Assessment: bookkeeping, accounting, auditing clerk short form | Category: Other",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Other
branch manager - short form,Assessment: branch manager - short form | Category: Other,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Other
cashier solution,Assessment: cashier solution | Category: Other,https://www.shl.com/products/product-catalog/view/cashier-solution/,Other
global skills development report,Assessment: global skills development report | Category: Knowledge & Skills,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Knowledge & Skills
.net framework 4.5,Assessment: .net framework 4.5 | Category: Other,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Other
.net mvc (new),Assessment: .net mvc (new) | Category: Other,https://www.shl.com/products/product-catalog/view/net-mvc-new/,Other
.net mvvm (new),Assessment: .net mvvm (new) | Category: Other,https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Other
.net wcf (new),Assessment: .net wcf (new) | Category: Other,https://www.shl.com/products/product-catalog/view/net-wcf-new/,Other
.net wpf (new),Assessment: .net wpf (new) | Category: Other,https://www.shl.com/products/product-catalog/view/net-wpf-new/,Other
.net xaml (new),Assessment: .net xaml (new) | Category: Other,https://www.shl.com/products/product-catalog/view/net-xaml-new/,Other
accounts payable (new),Assessment: accounts payable (new) | Category: Other,https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Other
accounts payable simulation (new),Assessment: accounts payable simulation (new) | Category: Simulations,https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Simulations
accounts receivable (new),Assessment: accounts receivable (new) | Category: Other,https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Other
accounts receivable simulation (new),Assessment: accounts receivable simulation (new) | Category: Simulations,https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Simulations
ado.net (new),Assessment: ado.net (new) | Category: Other,https://www.shl.com/products/product-catalog/view/ado-net-new/,Other
